Date,State,State_Name,metric,variable,category,percent,percent_ACS,count,count_ACS,sqDevPct,SSPctProp,sqDevCount,SSCountProp
20201014,OR,Oregon,Cases,Race,American Indian and Alaska Native,0.02776783583870198,0.012,931,402.336,2.4862464703625457e-4,0.14081371483519906,694.6572638192952,0.18673173839610813
20201014,OR,Oregon,Cases,Race,Asian,0.03200310188499165,0.043,1073,1441.704,1.2093176815187417e-4,0.06849220991582247,94.29303075804741,0.02534703438538896
20201014,OR,Oregon,Cases,Race,Black or African American,0.03811739441660701,0.019,1278,637.032,3.6547476928011695e-4,0.20699420010987918,644.9283191801981,0.17336403497642858
20201014,OR,Oregon,Cases,Race,Native Hawaiian and Other Pacific Islander,0.01879026485325698,0.004,630,134.112,2.1875193442948872e-4,0.12389468575056616,1833.5787143879745,0.4928867207711723
20201014,OR,Oregon,Cases,Race,Two or more races,0.02201145311381532,0.047,738,1575.816,6.244274754830502e-4,0.3536574250223542,445.44264676586613,0.11974002737555957
20201014,OR,Oregon,Cases,Race,White or some other race,0.8613099498926271,0.8750000000000001,28878,29337.000000000004,1.8741747194238372e-4,0.10614776436617887,7.181409142039176,0.0019304440953424181
