State,different_from_oregon_flag,metric_nodata_flag,metric,variable,category,category_reporting_flag,category_reporting_note
AS,FALSE,FALSE,Cases,Race,White,FALSE,NA
AS,FALSE,FALSE,Cases,Race,Some other race,FALSE,NA
AS,FALSE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
AS,FALSE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
AS,FALSE,FALSE,Deaths,Race,Black or African American,FALSE,NA
AS,FALSE,FALSE,Deaths,Race,Hispanic or Latino,FALSE,NA
AS,FALSE,FALSE,Deaths,Race,Asian,FALSE,NA
AS,FALSE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
AS,FALSE,FALSE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
AS,FALSE,FALSE,Deaths,Race,Two or more races,FALSE,NA
AS,FALSE,FALSE,Deaths,Race,White,FALSE,NA
AS,FALSE,FALSE,Deaths,Race,Some other race,FALSE,NA
AS,FALSE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
AS,FALSE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
AZ,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
AZ,TRUE,FALSE,Cases,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
AZ,TRUE,FALSE,Cases,Race,Asian,TRUE,"Arizona reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
AZ,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Arizona reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
AZ,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,FALSE,NA
AZ,TRUE,FALSE,Cases,Race,Two or more races,TRUE,"Arizona does not specify if this race category is included under a grouping it labels ""Other, non-Hispanic"""
AZ,TRUE,FALSE,Cases,Race,White,FALSE,NA
AZ,TRUE,FALSE,Cases,Race,Some other race,TRUE,"Arizona does not specify if this race category is included under a grouping it labels ""Other, non-Hispanic"""
AZ,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
AZ,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
AZ,TRUE,FALSE,Deaths,Race,Black or African American,FALSE,NA
AZ,TRUE,FALSE,Deaths,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
AZ,TRUE,FALSE,Deaths,Race,Asian,TRUE,"Arizona reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
AZ,TRUE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Arizona reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
AZ,TRUE,FALSE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
AZ,TRUE,FALSE,Deaths,Race,Two or more races,TRUE,"Arizona does not specify if this race category is included under a grouping it labels ""Other, non-Hispanic"""
AZ,TRUE,FALSE,Deaths,Race,White,FALSE,NA
AZ,TRUE,FALSE,Deaths,Race,Some other race,TRUE,"Arizona does not specify if this race category is included under a grouping it labels ""Other, non-Hispanic"""
AZ,TRUE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
AZ,TRUE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
CA,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
CA,TRUE,FALSE,Cases,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
CA,TRUE,FALSE,Cases,Race,Asian,FALSE,NA
CA,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
CA,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,FALSE,NA
CA,TRUE,FALSE,Cases,Race,Two or more races,FALSE,NA
CA,TRUE,FALSE,Cases,Race,White,FALSE,NA
CA,TRUE,FALSE,Cases,Race,Some other race,FALSE,NA
CA,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
CA,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
CA,TRUE,FALSE,Deaths,Race,Black or African American,FALSE,NA
CA,TRUE,FALSE,Deaths,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
CA,TRUE,FALSE,Deaths,Race,Asian,FALSE,NA
CA,TRUE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
CA,TRUE,FALSE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
CA,TRUE,FALSE,Deaths,Race,Two or more races,FALSE,NA
CA,TRUE,FALSE,Deaths,Race,White,FALSE,NA
CA,TRUE,FALSE,Deaths,Race,Some other race,FALSE,NA
CA,TRUE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
CA,TRUE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
CO,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
CO,TRUE,FALSE,Cases,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
CO,TRUE,FALSE,Cases,Race,Asian,FALSE,NA
CO,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
CO,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,FALSE,NA
CO,TRUE,FALSE,Cases,Race,Two or more races,FALSE,NA
CO,TRUE,FALSE,Cases,Race,White,FALSE,NA
CO,TRUE,FALSE,Cases,Race,Some other race,FALSE,NA
CO,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
CO,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
CO,TRUE,FALSE,Deaths,Race,Black or African American,FALSE,NA
CO,TRUE,FALSE,Deaths,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
CO,TRUE,FALSE,Deaths,Race,Asian,FALSE,NA
CO,TRUE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
CO,TRUE,FALSE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
CO,TRUE,FALSE,Deaths,Race,Two or more races,FALSE,NA
CO,TRUE,FALSE,Deaths,Race,White,FALSE,NA
CO,TRUE,FALSE,Deaths,Race,Some other race,FALSE,NA
CO,TRUE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
CO,TRUE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
CT,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
CT,TRUE,FALSE,Cases,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
CT,TRUE,FALSE,Cases,Race,Asian,TRUE,"Connecticut reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
CT,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Connecticut reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
CT,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,FALSE,NA
CT,TRUE,FALSE,Cases,Race,Two or more races,FALSE,NA
CT,TRUE,FALSE,Cases,Race,White,FALSE,NA
CT,TRUE,FALSE,Cases,Race,Some other race,FALSE,NA
CT,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
CT,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
CT,TRUE,FALSE,Deaths,Race,Black or African American,FALSE,NA
CT,TRUE,FALSE,Deaths,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
CT,TRUE,FALSE,Deaths,Race,Asian,TRUE,"Connecticut reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
CT,TRUE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Connecticut reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
CT,TRUE,FALSE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
CT,TRUE,FALSE,Deaths,Race,Two or more races,FALSE,NA
CT,TRUE,FALSE,Deaths,Race,White,FALSE,NA
CT,TRUE,FALSE,Deaths,Race,Some other race,FALSE,NA
CT,TRUE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
CT,TRUE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
DC,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
DC,TRUE,FALSE,Cases,Race,Hispanic or Latino,FALSE,NA
DC,TRUE,FALSE,Cases,Race,Asian,FALSE,NA
DC,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
DC,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,FALSE,NA
DC,TRUE,FALSE,Cases,Race,Two or more races,TRUE,"District of Columbia includes this category under a grouping it labels ""Other/Multiracial."""
DC,TRUE,FALSE,Cases,Race,White,FALSE,NA
DC,TRUE,FALSE,Cases,Race,Some other race,TRUE,"District of Columbia includes this category under a grouping it labels ""Other/Multiracial."""
DC,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
DC,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
DC,TRUE,FALSE,Deaths,Race,Black or African American,FALSE,NA
DC,TRUE,FALSE,Deaths,Race,Hispanic or Latino,FALSE,NA
DC,TRUE,FALSE,Deaths,Race,Asian,FALSE,NA
DC,TRUE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,TRUE,"District of Columbia does not specify if this category is included under a grouping it labels ""Other."""
DC,TRUE,FALSE,Deaths,Race,American Indian and Alaska Native,TRUE,"District of Columbia does not specify if this category is included under a grouping it labels ""Other."""
DC,TRUE,FALSE,Deaths,Race,Two or more races,TRUE,"District of Columbia does not specify if this category is included under a grouping it labels ""Other."""
DC,TRUE,FALSE,Deaths,Race,White,FALSE,NA
DC,TRUE,FALSE,Deaths,Race,Some other race,TRUE,"District of Columbia does not specify if this category is included under a grouping it labels ""Other."""
DC,TRUE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
DC,TRUE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
DE,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
DE,TRUE,FALSE,Cases,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
DE,TRUE,FALSE,Cases,Race,Asian,TRUE,"Delaware reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
DE,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Delaware reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
DE,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,TRUE,"Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple."""
