Date,State,metric,variable,category,percent,small_denom_flag,State_Name,oregon_flag,tooltip_text
20200628,AL,Deaths,Race,AI/AN,,,Alabama,FALSE,"of COVID19 deaths in Alabama were from individuals of AI/AN race (as of June 28, 2020)"
20200628,AL,Deaths,Race,Multiracial,,,Alabama,FALSE,"of COVID19 deaths in Alabama were from individuals of Multiracial race (as of June 28, 2020)"
20200628,AL,Deaths,Race,White,0.505166475315729,FALSE,Alabama,FALSE,"of COVID19 deaths in Alabama were from individuals of White race (as of June 28, 2020)"
20200628,AL,Deaths,Race,Other,0.016073478760045924,TRUE,Alabama,FALSE,"of COVID19 deaths in Alabama were from individuals of Other race (as of June 28, 2020)"
20200628,AL,Deaths,Ethnicity,Hispanic,0.02870264064293915,TRUE,Alabama,FALSE,"of COVID19 deaths in Alabama were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,AL,Deaths,Ethnicity,Not Hispanic,0.8978185993111366,FALSE,Alabama,FALSE,"of COVID19 deaths in Alabama were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,AL,Deaths,Ethnicity,Refused/Unknown,0.1285878300803674,FALSE,Alabama,FALSE,"of COVID19 deaths in Alabama were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,AR,Cases,Race,Black,0.24902637142539225,FALSE,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of Black race (as of June 28, 2020)"
20200628,AR,Cases,Race,Asian,0.012462445754979415,FALSE,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of Asian race (as of June 28, 2020)"
20200628,AR,Cases,Race,Pacific Is.,0.07666629576054301,FALSE,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,AR,Cases,Race,AI/AN,0.002781795927450762,FALSE,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of AI/AN race (as of June 28, 2020)"
20200628,AR,Cases,Race,Multiracial,,,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of Multiracial race (as of June 28, 2020)"
20200628,AR,Cases,Race,White,0.5089573828863915,FALSE,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of White race (as of June 28, 2020)"
20200628,AR,Cases,Race,Other,0.15010570824524314,FALSE,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of Other race (as of June 28, 2020)"
20200628,AR,Cases,Ethnicity,Hispanic,0.26799821965060644,FALSE,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,AR,Cases,Ethnicity,Not Hispanic,0.8345944141537777,FALSE,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,AR,Cases,Ethnicity,Refused/Unknown,0,TRUE,Arkansas,FALSE,"of COVID19 cases in Arkansas were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,AR,Deaths,Race,Black,,FALSE,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of Black race (as of June 28, 2020)"
20200628,AR,Deaths,Race,Asian,,TRUE,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of Asian race (as of June 28, 2020)"
20200628,AR,Deaths,Race,Pacific Is.,,TRUE,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,AR,Deaths,Race,AI/AN,,,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of AI/AN race (as of June 28, 2020)"
20200628,AR,Deaths,Race,Multiracial,,,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of Multiracial race (as of June 28, 2020)"
20200628,AR,Deaths,Race,White,,FALSE,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of White race (as of June 28, 2020)"
20200628,AR,Deaths,Race,Other,,TRUE,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of Other race (as of June 28, 2020)"
20200628,AR,Deaths,Ethnicity,Hispanic,,TRUE,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,AR,Deaths,Ethnicity,Not Hispanic,,FALSE,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,AR,Deaths,Ethnicity,Refused/Unknown,,TRUE,Arkansas,FALSE,"of COVID19 deaths in Arkansas were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,AS,Cases,Race,Black,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of Black race (as of June 28, 2020)"
20200628,AS,Cases,Race,Asian,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of Asian race (as of June 28, 2020)"
20200628,AS,Cases,Race,Pacific Is.,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,AS,Cases,Race,AI/AN,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of AI/AN race (as of June 28, 2020)"
20200628,AS,Cases,Race,Multiracial,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of Multiracial race (as of June 28, 2020)"
20200628,AS,Cases,Race,White,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of White race (as of June 28, 2020)"
20200628,AS,Cases,Race,Other,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of Other race (as of June 28, 2020)"
20200628,AS,Cases,Ethnicity,Hispanic,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,AS,Cases,Ethnicity,Not Hispanic,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,AS,Cases,Ethnicity,Refused/Unknown,,,American Samoa,FALSE,"of COVID19 cases in American Samoa were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,AS,Deaths,Race,Black,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of Black race (as of June 28, 2020)"
20200628,AS,Deaths,Race,Asian,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of Asian race (as of June 28, 2020)"
20200628,AS,Deaths,Race,Pacific Is.,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,AS,Deaths,Race,AI/AN,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of AI/AN race (as of June 28, 2020)"
20200628,AS,Deaths,Race,Multiracial,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of Multiracial race (as of June 28, 2020)"
20200628,AS,Deaths,Race,White,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of White race (as of June 28, 2020)"
20200628,AS,Deaths,Race,Other,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of Other race (as of June 28, 2020)"
20200628,AS,Deaths,Ethnicity,Hispanic,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,AS,Deaths,Ethnicity,Not Hispanic,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,AS,Deaths,Ethnicity,Refused/Unknown,,,American Samoa,FALSE,"of COVID19 deaths in American Samoa were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,AZ,Cases,Race,Black,0.04233936982092033,FALSE,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of Black race (as of June 28, 2020)"
20200628,AZ,Cases,Race,Asian,0.013777296425962773,FALSE,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of Asian race (as of June 28, 2020)"
20200628,AZ,Cases,Race,Pacific Is.,,,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,AZ,Cases,Race,AI/AN,0.15444676724680756,FALSE,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of AI/AN race (as of June 28, 2020)"
20200628,AZ,Cases,Race,Multiracial,,,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of Multiracial race (as of June 28, 2020)"
20200628,AZ,Cases,Race,White,0.29768531345238397,FALSE,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of White race (as of June 28, 2020)"
20200628,AZ,Cases,Race,Other,0.035488502128302644,FALSE,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of Other race (as of June 28, 2020)"
20200628,AZ,Cases,Ethnicity,Hispanic,0.45626275092562274,FALSE,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,AZ,Cases,Ethnicity,Not Hispanic,0.5437372490743773,FALSE,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
